"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-08",,,"0.00",,,,"66","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-09",,,"0.00",,,,"61","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-10",,,"0.00",,,,"60","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-11",,,"0.00",,,,"57","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-12",,,"0.01",,,,"64","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-13",,,"0.75",,,,"62","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-14",,,"0.97",,,,"55","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-15",,,"1.10",,,,"62","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-16",,,,,,,"61","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-17","    2","0.35",,,,,"61","57",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-18",,,"0.15",,,,"64","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-19",,,"1.63",,,,"57","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-20",,,"0.96",,,,"56","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-21",,,"0.14",,,,"59","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-22",,,"0.01",,,,"63","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-23",,,"0.00",,,,"62","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-24",,,"0.08",,,,"62","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-25",,,"0.14",,,,"68","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-26",,,"0.00",,,,"69","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-27",,,"0.49",,,,"65","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-28",,,"0.01",,,,"62","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-02-29",,,"0.00",,,,"65","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-01",,,"0.00",,,,"60","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-02",,,"0.27",,,,"58","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-03",,,"0.30",,,,"61","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-04",,,"0.39",,,,"60","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-05",,,"0.61",,,,"58","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-06",,,"0.03",,,,"55","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-07",,,"0.00",,,,"63","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-08",,,"0.00",,,,"64","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-09",,,"0.00",,,,"68","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-10",,,"0.00",,,,"68","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-11",,,"0.01",,,,"57","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-12",,,"0.00",,,,"57","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-13",,,"0.00",,,,"62","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-14",,,"0.00",,,,"62","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-15",,,"0.06",,,,"56","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-16",,,"0.00",,,,"59","47",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-17",,,"0.00",,,,"58","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-18",,,"0.00",,,,"64","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-19",,,"0.00",,,,"67","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-20",,,"0.00",,,,"56","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-21",,,"0.00",,,,"59","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-22",,,"0.00",,,,"68","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-23",,,"0.00",,,,"69","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-24",,,"0.00",,,,"63","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-25",,,"0.06",,,,"54","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-26",,,"0.00",,,,"60","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-27",,,"0.00",,,,"60","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-28",,,"0.00",,,,"67","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-29",,,"0.00",,,,"70","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-30",,,"0.00",,,,"67","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-03-31",,,"0.00",,,,"59","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-01",,,"0.00",,,,"59","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-02",,,"0.00",,,,"60","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-03",,,"0.00",,,,"57","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-04",,,"0.20",,,,"58","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-05",,,"0.88",,,,"60","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-06",,,"0.01",,,,"59","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-07",,,"0.00",,,,"62","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-08",,,"0.00",,,,"68","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-09",,,"0.05",,,,"60","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-10",,,"0.00",,,,"66","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-11",,,"0.00",,,,"79","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-12",,,"0.00",,,,"80","57",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-13",,,"0.00",,,,"74","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-14",,,"0.00",,,,"61","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-15",,,"0.00",,,,"69","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-16",,,"0.00",,,,"71","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-17",,,"0.00",,,,"59","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-18",,,"0.00",,,,"63","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-19",,,"0.00",,,,"60","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-20",,,"0.10",,,,"63","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-21",,,"0.01",,,,"54","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-22",,,"0.04",,,,"55","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-23",,,"0.00",,,,"60","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-24",,,"0.00",,,,"60","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-25",,,"0.00",,,,"57","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-26",,,"0.00",,,,"61","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-27",,,"0.00",,,,"65","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-28",,,"0.00",,,,"56","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-29",,,"0.00",,,,"63","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-04-30",,,"0.00",,,,"66","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-01",,,"0.00",,,,"63","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-02",,,"0.00",,,,"58","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-03",,,"0.00",,,,"62","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-04",,,"0.00",,,,"62","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-05",,,"0.00",,,,"61","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-06",,,"0.00",,,,"62","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-07",,,"0.00",,,,"64","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-08",,,"0.00",,,,"57","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-09",,,"0.26",,,,"57","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-10",,,"0.01",,,,"56","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-11",,,"0.00",,,,"56","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-12",,,"0.00",,,,"58","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-13",,,"0.00",,,,"56","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-14",,,"0.00",,,,"62","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-15",,,"0.00",,,,"62","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-16",,,"0.00",,,,"63","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-17",,,"0.00",,,,"68","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-18",,,"0.00",,,,"62","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-19",,,"0.00",,,,"68","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-20",,,"0.00",,,,"60","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-21",,,"0.00",,,,"58","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-22",,,"0.00",,,,"57","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-23",,,"0.00",,,,"55","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-24",,,"0.00",,,,"57","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-25",,,"0.00",,,,"61","49",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-26",,,"0.00",,,,"61","48",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-27",,,"0.00",,,,"57","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-28",,,"0.00",,,,"58","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-29",,,"0.00",,,,"60","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-30",,,"0.00",,,,"56","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-05-31",,,"0.00",,,,"63","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-01",,,"0.00",,,,"57","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-02",,,"0.00",,,,"62","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-03",,,"0.00",,,,"59","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-04",,,"0.02",,,,"58","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-05",,,"0.00",,,,"60","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-06",,,"0.00",,,,"61","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-07",,,"0.00",,,,"64","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-08",,,"0.00",,,,"65","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-09",,,"0.00",,,,"63","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-10",,,"0.00",,,,"60","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-11",,,"0.00",,,,"61","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-12",,,"0.00",,,,"62","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-13",,,"0.00",,,,"61","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-14",,,"0.00",,,,"68","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-15",,,"0.00",,,,"70","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-16",,,"0.00",,,,"62","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-17",,,"0.00",,,,"64","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-18",,,"0.00",,,,"56","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-19",,,"0.00",,,,"57","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-20",,,"0.00",,,,"59","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-21",,,"0.00",,,,"60","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-22",,,"0.00",,,,"62","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-23",,,"0.00",,,,"62","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-24",,,"0.00",,,,"64","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-25",,,"0.00",,,,"65","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-26",,,"0.00",,,,"71","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-27",,,"0.00",,,,"86","62",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-28",,,"0.00",,,,"81","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-29",,,"0.00",,,,"67","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-06-30",,,"0.00",,,,"62","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-01",,,"0.00",,,,"61","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-02",,,"0.05",,,,"63","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-03",,,"0.00",,,,"62","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-04",,,"0.00",,,,"63","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-05",,,"0.00",,,,"62","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-06",,,"0.00",,,,"61","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-07",,,"0.00",,,,"63","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-08",,,"0.00",,,,"64","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-09",,,"0.00",,,,"66","57",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-10",,,"0.00",,,,"72","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-11",,,"0.00",,,,"63","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-12",,,"0.00",,,,"61","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-13",,,"0.00",,,,"63","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-14",,,"0.00",,,,"64","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-15",,,"0.00",,,,"68","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-16",,,"0.00",,,,"62","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-17",,,"0.00",,,,"62","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-18",,,"0.00",,,,"58","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-19",,,"0.00",,,,"64","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-20",,,"0.00",,,,"64","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-21",,,"0.00",,,,"64","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-22",,,"0.00",,,,"61","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-23",,,"0.00",,,,"61","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-24",,,"0.00",,,,"66","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-25",,,"0.00",,,,"72","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-26",,,"0.00",,,,"67","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-27",,,"0.00",,,,"70","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-28",,,"0.00",,,,"71","57",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-29",,,"0.00",,,,"70","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-30",,,"0.00",,,,"68","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-07-31",,,"0.00",,,,"75","58",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-01",,,"0.00",,,,"76","59",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-02",,,"0.00",,,,"61","57",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-03",,,"0.00",,,,"66","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-04",,,"0.00",,,,"63","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-05",,,"0.00",,,,"65","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-06",,,"0.00",,,,"61","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-07",,,"0.00",,,,"65","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-08",,,"0.00",,,,"59","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-09",,,"0.00",,,,"62","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-10",,,"0.00",,,,"60","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-11",,,"0.00",,,,"60","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-12",,,"0.00",,,,"58","51",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-13",,,"0.00",,,,"56","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-14",,,"0.00",,,,"56","50",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-15",,,"0.00",,,,"65","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-16",,,"0.00",,,,"65","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-17",,,"0.00",,,,"62","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-18",,,"0.00",,,,"67","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-19",,,"0.00",,,,"69","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-20",,,"0.00",,,,"65","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-21",,,"0.00",,,,"59","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-22",,,"0.00",,,,"57","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-23",,,"0.00",,,,"63","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-24",,,"0.00",,,,"59","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-25",,,"0.00",,,,"60","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-26",,,"0.00",,,,"58","52",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-27",,,"0.00",,,,"62","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-28",,,"0.00",,,,"62","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-29",,,"0.00",,,,"63","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-30",,,"0.00",,,,"63","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-08-31",,,"0.00",,,,"62","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-01",,,"0.00",,,,"61","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-02",,,"0.00",,,,"60","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-03",,,"0.00",,,,"60","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-04",,,"0.00",,,,"63","53",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-05",,,"0.00",,,,"61","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-06",,,"0.00",,,,"59","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-07",,,"0.00",,,,"65","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-08",,,"0.00",,,,"62","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-09",,,"0.00",,,,"60","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-10",,,"0.00",,,,"64","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-11",,,"0.00",,,,"61","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-12",,,"0.00",,,,"59","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-13",,,"0.00",,,,"60","54",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-14",,,"0.00",,,,"64","55",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-15",,,"0.00",,,,"74","57",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-16",,,"0.00",,,,"68","56",
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","1980-09-17",,,"0.00",,,,"72","55",
